movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
The Men,1950,7.1,4241,7100000,/title/tt0042727/,Drama            ,,,Fred Zinnemann,Marlon Brando,Teresa Wright,Everett Sloane,Jack Webb,Richard Erdman,Arthur Jurado
The Vikings,1958,7.1,13215,7000000,/title/tt0052365/,Action,Adventure,History            ,Richard Fleischer,Kirk Douglas,Tony Curtis,Ernest Borgnine,Janet Leigh,James Donald,Alexander Knox
Golden Earrings,1947,6.7,1024,7000000,/title/tt0039428/,Adventure,Romance,War            ,Mitchell Leisen,Ray Milland,Marlene Dietrich,Murvyn Vye,Bruce Lester,Dennis Hoey,Quentin Reynolds
Spellbound,1945,7.6,44048,7000000,/title/tt0038109/,Film-Noir,Mystery,Romance            ,Alfred Hitchcock,Ingrid Bergman,Gregory Peck,Michael Chekhov,Leo G. Carroll,Rhonda Fleming,John Emery
The 7th Voyage of Sinbad,1958,7.1,12211,6976000,/title/tt0051337/,Action,Adventure,Family            ,Nathan Juran,Kerwin Mathews,Kathryn Grant,Richard Eyer,Torin Thatcher,Alec Mango,Danny Green
Helen of Troy,1956,6.2,2019,6976000,/title/tt0049301/,Adventure,Drama,History            ,Robert Wise,Rossana Podestà,Jacques Sernas,Cedric Hardwicke,Stanley Baker,Niall MacGinnis,Nora Swinburne
Till the Clouds Roll By,1946,6.4,2126,6724000,/title/tt0039035/,Biography,Musical            ,,Richard Whorf,June Allyson,Lucille Bremer,Judy Garland,Kathryn Grayson,Van Heflin,Lena Horne
Sink the Bismarck!,1960,7.1,6971,6540000,/title/tt0054310/,Action,Drama,History            ,Lewis Gilbert,Kenneth More,Dana Wynter,Carl Möhner,Laurence Naismith,Geoffrey Keen,Karel Stepanek
Let's Make Love,1960,6.5,6721,6540000,/title/tt0054022/,Comedy,Musical,Romance            ,George Cukor,Marilyn Monroe,Yves Montand,Tony Randall,Frankie Vaughan,Wilfrid Hyde-White,David Burns
The Big Sleep,1946,7.9,79463,6540000,/title/tt0038355/,Crime,Film-Noir,Mystery            ,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,Dorothy Malone,Peggy Knudsen
The Major and the Minor,1942,7.4,6349,6380000,/title/tt0035019/,Comedy,Romance            ,,Billy Wilder,Ginger Rogers,Ray Milland,Rita Johnson,Robert Benchley,Diana Lynn,Edward Fielding
Honky Tonk,1941,6.6,1003,6306740,/title/tt0033726/,Comedy,Crime,Drama            ,Jack Conway,Clark Gable,Lana Turner,Frank Morgan,Claire Trevor,Marjorie Main,Albert Dekker
In the Good Old Summertime,1949,7.2,3446,6304560,/title/tt0041507/,Comedy,Musical,Romance            ,Robert Z. Leonard,Judy Garland,Van Johnson,S.Z. Sakall,Spring Byington,Clinton Sundberg,Buster Keaton
My Friend Irma,1949,6.5,924,6160000,/title/tt0041673/,Comedy,Musical,Romance            ,George Marshall,John Lund,Diana Lynn,Don DeFore,Marie Wilson,Dean Martin,Jerry Lewis
The Opposite Sex,1956,6.1,1416,6016800,/title/tt0049578/,Comedy,Musical,Romance            ,David Miller,June Allyson,Joan Collins,Dolores Gray,Ann Sheridan,Ann Miller,Leslie Nielsen
The Grass Is Greener,1960,6.5,4657,6000000,/title/tt0053877/,Comedy,Drama,Romance            ,Stanley Donen,Cary Grant,Deborah Kerr,Robert Mitchum,Jean Simmons,Moray Watson,Joan Benham
